Semester 1,,,,,Semester 2,,,,
A,B,C,D,OUT OF TIMETABLE,A,B,C,D,OUT OF TIMETABLE
Band 9/10 Odd,Band 11/12 Odd,Guitar 10-12,,Jazz/choir,Band 9 E/10 Odd,Band 11/12 Odd,Guitar 9-12,,Jazz/choir
,Prec 11,Prec 12,Prec 12,Scholarship,Calc 12,AP Calc 12,,,Scholarship
Pe 10 Odd,,PE 91/0B,Law 12 - 123,,PE 10 Odd (Band),Law 12,PE 9/10,PE 9/10B,
Eng 9,,Lit Studies 11,Eng 9,,Comp 11,Eng 9 ELL,Lit Stud 11C,Eng 9,
Int/Web 9/10,,Int/Web 9/10,Comp Prog 11,,Int/Web 9/10,Int/Web 9/10,Dig Media 12,Comp Sc 11,
Math 10 – 210,,Sc 10 – 116,Math 10 - 220,,Math 9 – 220,Sc 9 – 216,Sc 10 – 219,Sc 10 - 225,
Chem 11,,Env Sc 11,Sc 9,,,,SS 10 – 209,SS10 - 211,
SS 9,SS11,HIS 12,,,Chem 11,,Chem 11,Env Sc 11,
,Sp 9/10,Italian 11/Intro,SP 11,Comm Lead,SS 11,SS9,SS9,,
Prec 12H,Prec12,Prec 11H,,Geom/ Peer T,CLE 10 - 201,Marketing 10 - 205B,CLE 10 - 201,CLE 10 - 201,
Eng 9,Sc 9,Inclusive Ed,Inclusive Ed,,,,,SS 10 - 123,
Eng 12,Cr.Writing 10,Eng 12,Comp 11,,SP 9,SP 10,,SP 11/12,Comm Lead
Phy 12,Stats 12,Phy 12,AP Phy 12,,,,Prec12,Chem 12,Geom/ Peer T
Cr. Writing 10,Eng 12,,Eng 12,,,Eng 12,Comp 11,Eng 12,
Prec 11 – 205B,Math 10 – 205B,Math 9 – 205B,FOM 11 – 205B,,,Phy 12,Calc 12,Phy 12,
SS 11,Law 12,SS 11,Law 12,,Eng 12,Cr. Writing 10,Eng 12,Cr. Writing 10,
,Phy 11,Phy 11,Chem 11,,Math 10,,Math 9,Prec 11,
PE 9/10,SS 10,,Crim 12,,Law 12,,Law 12,SS 11,
New Media 11 211,Comp 11 121,New Media 11 122,,,,Phy 11,Phy 11,Photo 10-12,
Library,Library,Library,Library,,Crim 12,SS 10,Crim 12,,
Phy 11,Math 10C,Math 10C,Prec 11,,,CLE 10 – 104,New Media10 122,Cr.Writing 11 – 122,
Comp Cul 12,Comp Cul 12,,,,Library,Library,Library,Library,
,Inclusive Ed,,Sc 10 - 227,,,SC 9C,SC 9C,Phy 11,
,Anatomy 12,Anatomy 12,Anatomy 12,Env Lead,History 12,History 12,,,
EN 10C,,AP Lit Studies 12,Eng 10C,,SC 10C,SC 10C,,Anatomy 12,Env Lead
CLE 10,ACCT 11 - 113,CLE 10,Marketing 10 – 203,,AP Eng 12,,Eng 12C,Comp 11,
,ELL 10-12 – A7,New Media 10 A5,Eng 9 -122,,ENT 12 – 113,Acc 11/12 – 201,Acc 11 – 203,Ent 12 – 221,
InDesign 9-12,Drafting 9-12,Drafting 9-12,,,FOM 11 – 212,,,,
PE 9 (Even),Active Liv 11/12,SS9 - 211,PE 9/10B,,Drafting 9-12,Drafting 9-12,Outdoor Ed 10-12 - 104,,
SS 11C,,SS 9C,SS 9C,Challenge,PE 9 (Even),PE 9/10B,Active Living 11/12,SS 9 - 106,
Dance Found 9-12,Yoga 9-12,,,Chor 9-12,SS 11C,,SS 10C,SS 10C,Challenge
ART 9/10,CLE 10 - 201,Photo 10-12 - 113,ART 9-12,,HIP HOP 9-12,DANCE T&P9-12,,,Chor 9-12/L
Life Sc 11,,CHEM 11,Life Sc 11,,ART 10-12,,ART 9-12,ART 9/10,
Mark 11 (Combo),Ent 12 (Combo),,Mark 10,,Life Sc 11,Life Sc 11,Life Sc 11,Chem 11,
Foods 11/12,Foods 11/12,Foods 9/10,Foods 9/10,,Foods 9/10,Foods 11/12,Food 11/12,,
SS10,Eng 10 ELL/ISP,Eng 10 ELL/ISP,SS 10,,Comp Cul 12,Eng 10 ELL/ISP,Eng 10 ELL/ISP,,
,FR 9,FR 11/12,FR 10,,,,,,Leadership
Wood 9-12,Auto 11/12,,Mech 9/10,,New Media 10,FR 11,FR 9,FR 11/12,
Clim Change 12,Math 9,Numeracy 9,Clim Change 12,,Mech 9/10,Auto 11/12,,Auto 11/12,
PreC 12,Math 9C,Math 9C,WPM 11,,Prec 11,Prec 11,Prec 11,,
,,,,Strings,Anatomy 12,Chem 12,,Prec 12,
,Math 10H,Psych 11,Psych 11,,,,,,Strings
Active Liv 11/12G,PE 9/10G,PE 9/10,PE 9/10G,,Psych 11,,Math 10,WPM 11,
Sc 10,Sc 10,WPM 10,Sc 10,,PE 9/10G,Fit Cond 11/12,,PE 9/10G,
,Sc 9,,,,SC 10,SC 10,SC 9,,
Aviation,Aviation,Aviation,Aviation,,,Skills 10-12,Wood 9-12,Wood 9-12,
,CLE 10 – Even 114,,CLE 10 - 201,"CLC, WEx, F.Aid",,CLE 10 Linear(Band) even,Geo 12 - 214,,"CLC, WEX, F.Aid"
Comp Sci 11/12,Comp Sc 12,Comp Sc 11,,Yearbook,Comp Sci 11/12,Comp Prog 11/12,,Comp Sc 12 AP,Yearbook
Anatomy 12,Chem 12,Chem 12,Chem 11,,Chem 12,Chem 11,Chem 12,,
Med Des 10-12,,Robotics 9-12,Robotics 9-12,,Robotics 9-12 104,Media Des 10-12 - 113,Comp 10/11 - 113,Draft 9-12 - 105,
,Cr.Writing 11,Lit Stud 11C,Drama 11/12,,Eng 9C,Drama 9/10,Eng 9,Eng 9C,
,,Eng 12 ELL,Eng 12 ELL,,,,Eng 12YL,Eng 12YL,
